EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010625030,OPEN DOOR MINISTRIES INTERNATIONAL,% MELANIE DUPLECHAIN,11123 WINCHESTER PARK DR,NEW ORLEANS,LA,70128-2717,0000,03,3,1000,200708,1,15,000000000,1,01,201810,0,0,02,0,10,0,0,0,P60,
010635750,LOUISIANA STATE ASSEMBLY OF AST,% BRYAN WILLE,PO BOX 60445,LAFAYETTE,LA,70596-0445,0000,06,3,1000,200306,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,E03,
010637415,NEW ORLEANS CRAFT TEMPLE FOUNDATION INC,% DR ERIC C HAHN,2804 KEITH WAY DR,HARVEY,LA,70058-1921,0000,03,3,2100,200209,1,15,000000000,1,01,202003,0,0,02,0,03,0,0,0,A50,
010648681,LOUISIANA OIL & GAS MUSEUM FOUNDATION INC,% GREGORY MARCANTEL,PO BOX 1254,JENNINGS,LA,70546-1254,0000,03,3,2000,200407,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,A57,
010648757,MARINE CORPS LEAGUE,% RONNIE BROUSSARD,201 ARBOR DR,LAFAYETTE,LA,70507-3743,0955,04,9,3000,194607,1,00,908279265,5,01,201906,0,0,02,0,06,0,0,0,W30,488 ACADIANA DET MCL
010669825,CLASS OF 83 THANKSGIVING DRIVE INC,% LUIS I INGLES III CPA APAC,102 SYCAMORE DR,METAIRIE,LA,70005-4025,0000,03,3,1000,200302,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
010688260,STRONG TOWER CHRISTIAN CENTER,% PATRICIA MOORE,PO BOX 861,AMITE,LA,70422-0861,0000,03,3,7000,200311,1,10,000000000,1,01,,0,0,06,0,01,,,,X21,
010690305,ROAD RUNNERS CLUB OF AMERICA,% DIANE WEISS,49 KAREN DR,COVINGTON,LA,70433-0915,2702,03,9,1000,197603,0,15,300288000,5,01,201912,0,0,02,0,12,0,0,0,,15TH STREET FLYERS
010693999,CRIMSON BAND BOOSTER CLUB,% PRESDENT,PO BOX 2585,MANDEVILLE,LA,70470-2585,0000,03,3,1200,201801,1,16,000000000,5,01,202006,3,4,01,0,06,27596,169953,158979,A12,
010699574,IZZY MOVING DANCE THEATRE,% DANA BREWER-PLAZINIC,15 GLEN LOOP,COVINGTON,LA,70435-9503,0000,03,3,1000,200302,1,04,000000000,1,25,201812,1,1,00,1,12,1,1,,A62,
010709703,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% GIZZELLE BOZONIER,2400 CANAL ST,NEW ORLEANS,LA,70119-6535,0264,05,9,3000,194012,0,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,,1904 NFFE FL I A M & A W
010722568,CROSSROADS PREGNANCY RESOURCE,% ADRIENNE NAQUIN BOUTON,105 SAINT LOUIS ST,THIBODAUX,LA,70301-3027,0000,03,3,2000,200209,1,15,000000000,1,01,201807,4,4,01,0,07,198437,136218,118289,P40,
010725577,ARTISTS HOUSE FOUNDATION INC,% CATHY WEEKS,1515 HENRY CLAY AVE,NEW ORLEANS,LA,70118-6157,0000,03,3,2000,200311,1,15,000000000,1,01,201912,1,1,02,0,12,4485,3086,3086,A20,
010727873,FAITH HOPE & LOVE FELLOWSHIP INC,% RONALD E HARDY SR,PO BOX 1639,ST FRANCISVLE,LA,70775-1639,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010728832,LAKE AREA ATHLETIC TRAINERS ASSOCIATION INC,% JAMES MURPHY,4407 EILEEN ST,LAKE CHARLES,LA,70605-4231,0000,03,3,2000,200305,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,B99,
010735313,FAITH MISSIONARY BAPTIST CHURCH,% DEACON CHARLES E JACKSON,1706 SEVERINE ST,SHREVEPORT,LA,71108-3024,0000,03,3,7100,200505,1,10,000000000,0,01,,0,0,06,0,12,,,,X21,
010740202,MARINE CORPS LEAGUE JANS F HURSEY DETACHMENT 78,,PO BOX 1470,SLIDELL,LA,70459-1470,0000,08,3,1000,202007,1,00,908279265,5,01,,0,0,02,0,12,,,,,748 JAN F HURSEY DETACHMENT MCL
010741625,FAITH CITY MINISTRIES INC,% PASTOR LEE A CONDOLLE,PO BOX 3614,HOUMA,LA,70361-3614,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010746959,LOUISIANA INSTITUTE OF ARTS OF HUMANITIES LIAH INC,% LEONA MAE BURRELL,1097 HIGHWAY 18,EDGARD,LA,70049-2100,0000,03,3,1230,201710,1,16,000000000,1,01,201712,0,0,02,0,12,0,0,0,A20,
010758298,DELTA SIGMA THETA SORORITY,% ROSE ROCHE,PO BOX 965,NEW ROADS,LA,70760-0965,1188,07,9,1000,195207,2,00,036040319,5,01,,0,0,01,0,06,,,,,LOUISIANA TRI-PARISH ALUMNAE
010759029,INTERNATIONAL CHECKERS ASSOCIATION OF NORTH AMERICA INC,% LYUBLYANA TURIY,12940 PARKVIEW POINT AVE,BATON ROUGE,LA,70816-4883,0000,03,3,1200,200505,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,I21,
010759127,SHREVEPORT SCOTTISH RITE FOUNDATION INC,,PO BOX 64,SHREVEPORT,LA,71161-0064,0000,03,3,1000,200305,1,15,000000000,1,01,201912,6,4,01,0,12,2329324,101506,101506,A80,
010760392,ACQUIRED BRAIN INJURY SURVIVORS OF SE LOUISIANA,% JOYCE RICE,330 MORGAN STREET,NEW ORLEANS,LA,70114-1075,0000,03,3,1000,200404,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,G48,
010763297,ANTIOCH A FULL GOSPEL BAPTIST CHURCH,% CATHY BRATTON,5247 FORD ST,BATON ROUGE,LA,70811-5620,0000,03,3,7000,200804,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010765610,EMMANUEL INTERNATIONAL MINISTRY,% DEMETRIS BRADY,4546 NORTH ST APT 5247,BATON ROUGE,LA,70806-3404,0000,03,3,7100,200602,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010772321,F R DOUBLE E OUTREACH MINISTRY,% JARON B LEWIS SR,7716 HWY 182 STE 102,MORGAN CITY,LA,70380-2313,0000,03,3,7000,200503,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,FREE OUTREACH MINISTRY
010777876,RIVERS OF LIFE CHRISTIAN MINISTRY,% VERNELL ALEXANDER,2910 MERIWETHER RD,SHREVEPORT,LA,71108-5402,0000,03,3,7000,200407,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010787618,L S U TRACK & FIELD OFFICIALS ASSOCIATION,% PAUL W STELLY,LSU BOX 18316,BATON ROUGE,LA,70803-0001,0000,03,3,1200,200404,1,16,000000000,1,01,202006,3,4,01,0,06,31584,110203,110203,B80,
010787737,MICROBUSINESS ENTERPRISE CORPORATION OF ASCENSION,% LISA THIBODEAUX,PO BOX 220,PRAIRIEVILLE,LA,70769-0220,0000,03,3,1000,200412,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,S30,
010790282,EVANGELISTIC OUTREACH,% DENNIS J HOUSE,306 DEROUEN ST,WELSH,LA,70591-5410,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010798281,INTERNATIONAL LINCOLN ASSOCIATION,% WILLIAM D PEDERSON,5734 ROMA DR,SHREVEPORT,LA,71105-4225,0000,03,3,2000,200403,1,15,000000000,1,01,201812,1,0,02,0,12,1,0,0,B99,
010799721,MIGHTY WORD OF POWER MINISTRIES INC,% E LOUISE COLBERT,534 WINDINGWAY DR,BATON ROUGE,LA,70810-2527,0000,03,3,7000,200603,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
010815863,DAYSPRING MINISTRIES INC,% EVELYN THIBODAUX,1201 HIGHWAY 1,THIBODAUX,LA,70301-6172,0000,03,3,7000,200508,1,10,000000000,0,01,,0,0,06,0,12,,,,X21,
010817748,CHILDREN FIRST LEARNING CENTER,% MARGARET COLLINS,522 GLENWAY DR,BATON ROUGE,LA,70815-6564,0000,03,3,1000,201004,1,15,000000000,1,01,202008,0,0,02,0,08,0,0,0,O20,
010818644,POWER MINISTRIES OF THE WORLD INC,% CHRISTY LEVY DUVIGNEAUD,36 BLUEBIRD ST,NEW ORLEANS,LA,70124-4308,0000,03,3,7120,200512,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010822880,INCARNATION CONSECRATION MISSION,% HUNG VIET NGUYEN,2580 TECUMSEH ST,BATON ROUGE,LA,70805-7971,0000,03,3,7000,194603,1,10,031150120,5,01,,0,0,06,0,06,,,,X20,
010824834,BAYOU LIFE CENTER,% JOSEPH FLETCHER,433 DOVE CV,ALEXANDRIA,LA,71303-2461,0000,03,3,1000,200901,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P99,
010824949,GRACE CHAPEL OF HOUMA,% JEFFREY ROBINSON,209 OAKVIEW DR,HOUMA,LA,70364-1126,0000,03,3,7100,201008,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010837567,FIRE & INK INCORPORATED,% LISA C MOORE,PO BOX 15815,NEW ORLEANS,LA,70175-5815,0000,03,3,2000,200809,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,R262,FIRE & INK
010839277,MOREHOUSE COMMUNITY DEVELOPMENT ORGANIZATION INC,% R D DEFREESE JR,PO BOX 1471,BASTROP,LA,71221-1471,0000,03,3,1000,200508,1,15,000000000,1,01,201906,0,0,02,0,06,0,0,0,L21,
010843095,ANGEL OF GOD PROJECT,% NICHOLAS ABRAHAM,6765 CORPORATE BLVD APT 2212,BATON ROUGE,LA,70809-1067,0000,03,3,1000,200511,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,M20,
010846459,LOUSIANA GARDEN CLUB FEDERATION INC,% JULIA GILMORE,8509 HIGHWAY 562,EXTENSION,LA,71243-5151,5355,03,9,1200,195312,1,16,000000000,1,01,202005,0,0,02,0,05,0,0,0,C42,GARDEN GATE STUDY CLUB
010865527,LOUISIANA PRAYER INSTITUTE,% WALTER PENNINGTON,71525 JOSEPHINE ST,COVINGTON,LA,70433-8672,0000,03,3,1200,200708,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X21,
010866440,STERLINGTON HIGH SCHOOL QUARTERBACK CLUB,% CAROLYN CLAMPIT,PO BOX 1005,STERLINGTON,LA,71280-1005,0000,03,3,2000,201811,1,15,000000000,5,01,201912,3,4,01,0,12,42523,100098,56856,B11,
010869176,MOREHOUSE SENIOR APARTMENTS INC,% R D DEFREESE JR,704 NELDA DRIVE,BASTROP,LA,71220-5273,0000,03,3,1000,200608,1,15,000000000,1,01,201906,5,3,01,0,06,807532,92500,92500,L22,
010876757,BLACKHAWK FLIGHT FOUNDATION INC,% B J PERRETT,300 OAK ISLAND DR,MANDEVILLE,LA,70448-1947,0000,03,3,1200,200802,1,15,000000000,1,01,201912,1,3,01,0,12,1767,56978,56978,B82,
010901547,ONE WORLD INC,% TIFFANY POWELL,1106 MOISANT ST,KENNER,LA,70062-6718,0000,03,3,1200,200812,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P80,
010909425,THE CREATIVE LEARNING CENTER OF LOUISIANA,% LISA WINTER,3715 DIVISION ST,METAIRIE,LA,70002-4655,0000,03,3,2000,200901,1,11,000000000,1,01,201712,0,0,02,0,12,0,0,0,B20,
010913889,YOUNG MEN OF HONOR,% MARILYN CARRIER,10829 CLEARVIEW AVE,BATON ROUGE,LA,70811-1710,0000,03,3,1200,200911,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,O50,MARILYN CARRIER
010918158,BRIGHTSIDE VIEW CONDOMINIUM ASSOCIATION INC,% AMANDA CURTIS,5253 BRIGHTSIDE VIEW DRIVE,BATON ROUGE,LA,70820-1737,0000,04,3,1000,200904,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,Y990,
010921308,UNION GROVE CME,,827 UNION GROVE RD,HOMER,LA,71040-0000,8511,03,9,7000,198009,2,10,001002000,5,01,,0,0,06,0,12,,,,,
010925512,PAWS OF NE LOUISIANA SPAY-NEUTER SERVICES INC,,PO BOX 15432,MONROE,LA,71207-5432,0000,03,3,1000,201006,1,16,000000000,1,01,201812,4,0,02,0,12,170783,0,0,D20,
010926486,ORDO TEMPLI ORIENTIS USA,,3151 DAVPHINE ST,NEW ORLEANS,LA,70117-0000,5252,03,9,7000,200508,1,10,000000000,5,01,,0,0,06,0,12,,,,X99,ALOMBRADOS OASIS
010927490,TECHE PROJECT,% TOM HOLLAND,PO BOX 165,ARNAUDVILLE,LA,70512-0165,0000,03,3,2100,201009,1,15,000000000,1,01,201812,3,3,01,0,12,81118,58756,58756,C60,
010930213,THE OHIO STATE UNIVERSITY ALUMNI CL UB OF GREATER NEW ORLEANS,% MJ SAUER,2468 LARK ST,NEW ORLEANS,LA,70122-4322,8074,04,9,1000,193901,1,00,034000000,5,01,202006,0,0,02,0,06,0,0,0,B84,
010935137,K-DOG SCHOLARSHIP FOUNDATION,% AMANDA A SIMMONS,310 WOODRICH LN,LAFAYETTE,LA,70507-5206,0000,03,3,2000,201908,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,M42,
010940592,GREATER WORKS CHRISTIAN FELLOWSHIP MINISTRIES,% HAROLYN BROOKS,940 YOUNG ST,BROUSSARD,LA,70518-7713,0000,03,3,7000,201408,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,X20,HAROLYN BROOKS
010944172,GUEYDAN CRAWFISHERMENS SCHOLARSHIP INC,% LEO SMITH,8606 F T SMITH RD,GUEYDAN,LA,70542-5404,0000,03,3,1200,201104,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B82,
010952924,BATON ROUGE RIGHT TO LIFE INC,% JOHN HAULER,369 COURTNEY DR,BRUSLY,LA,70719-2267,0000,03,3,1000,201402,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,,
010959798,VIDA ASSEMBLY OF GOD CHURCH,% WADE M MOODY PASTOR,PO BOX 640852,KENNER,LA,70064-0852,1678,03,9,7000,196408,2,10,001002029,5,01,,0,0,06,0,12,,,,,
010963734,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% GWENDOLYN GILLIARD,102 NORLAND AVE,NEW ORLEANS,LA,70131-3906,1495,19,9,1000,196008,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,,1955 MOPHA UNIT
010964184,ANGOLAN ASSOCIATION IN LOUISIANA INC,% HUMBERTO LAFAYETTE,12749 PARNELL AVE,BATON ROUGE,LA,70815-6671,0000,03,3,1200,201201,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,P80,ANGOSIANA
010964239,LOUISIANA INDEPENDENT COTTON WAREHOUSE ASSOCIATION,,1900 N 18TH STREET,MONROE,LA,71201-4432,0000,05,3,3000,201501,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,J40,
010967327,17TH STREET CHURCH OF CHRIST,% LINDA S CAIN,PO BOX 1002,WINNSBORO,LA,71295-1002,0000,03,3,1700,201102,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010973172,NEW RESONANCE ORCHESTRA INC,% FRANCIS SCULLY,1829 4TH ST,NEW ORLEANS,LA,70113-1715,0000,03,3,1200,201405,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A99,
010976844,ACADIANA PATRIOTS,% JAMES CRUMLING,PO BOX 80625,LAFAYETTE,LA,70598-0625,0000,04,3,3000,201405,2,00,000000000,1,01,201712,0,0,02,0,12,0,0,0,R01,
020532649,SOLDIERS OF COMPASSION OUTREACH MINISTRY INC,,605 COTTON ST,SHREVEPORT,LA,71101-3711,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,SOC
020547761,AMERICAN LEGION AUXILIARY UNIT 141 BOWEN-HOLLAND,% JANET WILLIAMS,17775 HIGHWAY 71,IDA,LA,71044-9594,0000,19,3,1000,201405,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,W30,
020569330,INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,% MARIAN GARDNER,510 E STONER AVE,SHREVEPORT,LA,71101-4243,0264,05,9,3000,194012,0,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,,1956 IAMAW NFFE FL
020571805,LAUREL HILL BAPTIST CHURCH,% MARY FISHER,4767 HIGHWAY 121,BOYCE,LA,71409-8728,0000,03,3,1270,200303,1,10,000000000,1,01,,0,0,06,0,07,,,,X21,
020573874,BOOST FOUNDATION INC,% SHELIA CELESTINE,635 HENDEE ST,NEW ORLEANS,LA,70114-1409,0000,03,3,1000,200207,1,15,000000000,1,01,201906,0,0,01,0,12,0,0,0,P20,
020576873,INTERNATIONAL ORDER OF THE RAINBOW GIRLS,% ELIZABETH PLUMMER,3827 CATHERINE AVE,METAIRIE,LA,70001-5717,5329,03,9,1000,000000,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,,87 TEMPLE ASSEMBLY
020581906,HOUSE OF REFUGE MINISTRIES,% ELLA WINN,PO BOX 868,COUSHATTA,LA,71019-0868,0000,03,3,7000,200307,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,LEE OTIS SIBLEY PASTOR
020597938,HARMONY MISSIONARY BAPTIST CHURCH OF ALEXANDRIA,% REV VICTOR WHITE SR,2907 HOUSTON ST,ALEXANDRIA,LA,71301-4332,0000,03,3,7000,200502,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,,
020606789,WEBSTER HUMANE ASSOCIATION INC,,PO BOX 218,MINDEN,LA,71058-0218,0000,03,3,1000,200308,1,15,000000000,1,01,201812,1,3,02,0,12,3223,44680,44680,D20,
020613297,ELITE PROGRAM INC,% C REID MCLELLAN JR,2700 FOXXWOOD DR,RUSTON,LA,71270-2509,0000,03,3,2000,200212,1,15,000000000,1,01,201912,2,3,02,0,12,15712,43898,43898,B99,
020617290,UNIVERSAL LIFE MINISTRIES,% VIRGINIA WAGER,1303 MARIGNY AVE,MANDEVILLE,LA,70448-3842,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X200,
020627480,SAINT GABRIEL COMMUNITY CHURCH,% MARTY T JOHNSON SR,348 W 79TH ST,SHREVEPORT,LA,71106-4820,0000,03,3,7000,201503,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,X20,
020631256,LIVING CORNERSTONE CHURCH INTERNATIONAL INC,% RUSTIN M TREADAWAY,PO BOX 16,VIOLET,LA,70092-0016,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,X21,
020646192,TODD LASTRAPES MEMORIAL FOUNDATION,% DARIN LASTRAPES,6633 HIGHWAY 31,OPELOUSAS,LA,70570-1505,0000,03,3,1000,200510,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,N6A,
020647617,WILD CAT FOUNDATION INC,,1640 N BERTRAND DR,LAFAYETTE,LA,70506-2130,0000,03,3,4000,200502,1,15,000000000,1,01,201912,6,5,01,0,12,1150144,647522,647522,D20,
020655567,GREATER LOVE FAMILY WORSHIP CENTER,% LOUIS DUGAR,PO BOX 545,CROWLEY,LA,70527-0545,0000,03,3,1700,201612,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
020661126,NORTHWOOD HILLS MGA,% GERALD V BRADFORD,6192 MAGNOLIA WOODS AVE,SHREVEPORT,LA,71107-9193,0000,07,3,1000,200310,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,N6A,
020664481,LOUISIANA VETERANS ADVOCACY GROUP INC,% PAUL G LABBE,1608 OREGON ST,LAKE CHARLES,LA,70607-1926,0000,03,3,1000,201205,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,W30,
020665232,NATIONAL BAPTIST WOMEN MINISTERS CONVENTION INC,% APOSTLE BISHOP ANN CARSON AMBERS,5222 HOLLYWOOD ST APT 299,BATON ROUGE,LA,70805-8901,0000,03,3,7100,200506,1,10,000000000,1,01,201812,0,0,06,0,12,0,0,0,X21,
020669825,KIM PERROT VISIONS OF LIFE INC,% LORETTA A PERROT,114 CLARA ST,LAFAYETTE,LA,70501-1706,0000,03,3,1000,201910,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
020672814,FRIENDS OF FORT DERUSSY INC,% STEVEN M MAYEUX,7162 HIGHWAY 29,COTTONPORT,LA,71327-4234,0000,03,3,1000,200402,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A80,
020678895,GRAND ISLE COMMUNITY DEVELOPMENT TEAM INC,% JOSIE CHERAMIE,PO BOX 944,GRAND ISLE,LA,70358-0944,0000,03,3,1000,200311,1,15,000000000,1,01,201812,3,3,01,0,12,91098,55021,55021,S20,
020681552,SCHNAUZER RESCUE OF LOUISIANA,% COLLEEN MOONEY,6459 COLBERT ST,NEW ORLEANS,LA,70124-3123,0000,03,3,1400,201505,1,15,000000000,1,01,201912,2,1,02,0,12,11069,9363,9363,D20,
020693187,ALEXANDRIA AFFORDABLE HOUSING CORPORATION,% WANDA DAVIS,2558 LOBLOLLY LN,ALEXANDRIA,LA,71303-4343,0000,03,3,1000,200407,1,15,000000000,1,01,201812,4,4,01,0,12,347135,150185,150185,L21,A LOUISIANA CORPORATION
020693757,WHISTLE STOP,% THE WHISTLE STOP,1518 18TH ST,LAKE CHARLES,LA,70601-7648,0000,03,3,1200,200402,1,16,000000000,1,01,201812,2,4,01,0,12,11819,407144,271875,P30,
020704316,ONTOLOGICAL DESIGN COMMUNITY,% MARK A BLAIR,ATTN ANTHONY GUARISCO 8044 SUMMA AV,BATON ROUGE,LA,70809-3411,0000,03,3,2000,200511,1,16,000000000,1,01,201912,2,1,02,0,12,14952,7411,7411,F03,
020705539,OPEN DOOR OUTREACH,% ROLAND FARNELL,418 DOGWOOD SOUTH LN,HAUGHTON,LA,71037-8551,0000,03,3,1000,200401,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,L30,
020708385,PALMETTO DELTA DEVELOPMENT CORP,% SARAH LEE,2242 E E WALLACE BLVD N STE 2,FERRIDAY,LA,71334-2230,0000,03,3,1000,200406,1,04,000000000,1,01,,1,1,00,0,12,,,,L21,
020719823,FAITH COMMUNITY,,PO BOX 8814,SHREVEPORT,LA,71148-8814,4128,03,9,7000,195906,1,10,001000000,1,01,,0,0,06,0,06,,,,,
020723039,GLAD TIDINGS PENTECOSTAL CHURCH INC,% WILLIAM NASH,PO BOX 345,MANGHAM,LA,71259-0345,8067,03,9,1000,196007,1,10,001000000,5,01,,0,0,06,0,03,,,,,
020729207,TRUMAN STREET CHURCH OF CHRIST,% JAMES SPEARMAN SR,6540 HEARNE AVE,SHREVEPORT,LA,71108-4523,0000,03,3,7000,200503,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020729627,TURN AROUND PROGRAM INCORPORATED,% OLIVER EDWARDS,PO BOX 741,ZACHARY,LA,70791-0741,0000,03,3,2000,200501,1,15,000000000,1,01,,0,0,00,0,06,,,,,
020730698,JESUS LEGACIES MINISTRY INTERNATIONAL INC,% MOSES TALABI,26272 POPLAR GLEN DR,DENHAM SPGS,LA,70726-6555,0000,03,3,7100,200602,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,X90,JESUS LEGACIES CHURCH
